nohup: ignoring input
------------VecMark winemag50k------------
                                 KL Divergence  Average Deviation
points (int64)                       0.000014           0.000025
price (float64)                      0.000052           0.000133
country (object)                     0.000041                NaN
description (object)                 0.038930                NaN
designation (object)                 0.000000                NaN
province (object)                    0.000000                NaN
region_1 (object)                    0.000000                NaN
region_2 (object)                    0.000011                NaN
taster_name (object)                 0.000354                NaN
taster_twitter_handle (object)       0.000008                NaN
title (object)                       0.038621                NaN
variety (object)                     0.000000                NaN
winery (object)                      0.000000                NaN
Average                              0.006002           0.000079
--------------VecMark FCT100k-------------
                                             KL Divergence  Average Deviation
Elevation (int64)                                0.000167           0.000084
Aspect (int64)                                   0.000023           0.000084
Slope (int64)                                    0.000011           0.000093
Horizontal_Distance_To_Hydrology (int64)         0.000056           0.000437
Vertical_Distance_To_Hydrology (int64)           0.000289           0.001732
Horizontal_Distance_To_Roadways (int64)          0.000673           0.000708
Hillshade_9am (int64)                            0.000010           0.000057
Hillshade_Noon (int64)                           0.000010           0.000028
Hillshade_3pm (int64)                            0.000085           0.000253
Horizontal_Distance_To_Fire_Points (int64)       0.000498           0.000143
Wilderness_Area1 (int64)                         0.000000           0.000000
Wilderness_Area2 (int64)                         0.000000           0.000000
Wilderness_Area3 (int64)                         0.000000           0.000000
Wilderness_Area4 (int64)                         0.000000           0.000000
Soil_Type1 (int64)                               0.000000           0.000000
Soil_Type2 (int64)                               0.000000           0.000000
Soil_Type3 (int64)                               0.000000           0.000000
Soil_Type4 (int64)                               0.000000           0.000000
Soil_Type5 (int64)                               0.000000           0.000000
Soil_Type6 (int64)                               0.000000           0.000000
Soil_Type7 (int64)                               0.000000           0.000000
Soil_Type8 (int64)                               0.000000           0.000000
Soil_Type9 (int64)                               0.000000           0.000000
Soil_Type10 (int64)                              0.000000           0.000000
Soil_Type11 (int64)                              0.000000           0.000000
Soil_Type12 (int64)                              0.000000           0.000000
Soil_Type13 (int64)                              0.000000           0.000000
Soil_Type14 (int64)                              0.000000           0.000000
Soil_Type15 (int64)                              0.000000           0.000000
Soil_Type16 (int64)                              0.000000           0.000000
Soil_Type17 (int64)                              0.000000           0.000000
