id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
11,US,"Amidst cola and sassafras on the nose, there's a bit of rotting cherry funk and some compost pile aromas to this intriguing single-vineyard Syrah from the Los Alamos area. The little bit of cherry sweetness on the palate gets more serious with chopped herbs, tobacco and cedar.",White Hawk Vineyard,89,38.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Deep Sea 2011 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Deep Sea
17,US,"The winery says this high-alcohol wine, made from Muscat and Verdelho, was aged for ten years in barrels. It has a floral, Sherry taste, with that distinctive yeasty flavor undergirding quite sweet pineapples, oranges, apricots and white chocolate.",Dessert Wine,86,20.0,California,California,California Other,,,Elkhorn Peak NV Dessert Wine White (California),White Blend,Elkhorn Peak
29,France,"This is pretty pale for a Tavel, with a coppery tinge to its pink color. Notes of lime zest, wet stone and modest cherry-berry notes finish on a bright citrus note.",,90,24.0,Rhône Valley,Tavel,South Coast,Joe Czerwinski,@JoeCz,Prieuré de Montézargues 2014  Tavel,Rosé,Prieuré de Montézargues
55,US,"Robust and country-style, this is a nice wine for barbecue and beef stews. Very dry and tannic, it shows harmonious flavors of blackberries, currants and wild nettles. Buy this young wine for your full-bodied house red.",Saxy,87,12.0,California,North Coast,North Coast,,,R & B Cellars 2006 Saxy Syrah (North Coast),Syrah,R & B Cellars
72,US,"Black cherry, crushed lava rocks, anise, turned loam and a hint of vanilla show on the nose of this bottling. It's rather light and easy on the sip, with a lighter body presenting flavors of candied red fruit and sagebrush spice.",Tondre,88,48.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,AuburnJames 2014 Tondre Pinot Noir (Santa Lucia Highlands),Pinot Noir,AuburnJames
100,France,"This is the dry white wine made from the Sauternes estate of Rayne Vigneau. Grapefruit and other citrus flavors are prominent, cutting through the taut texture, along with with a light touch of honey that gives richness. The wine needs to age a little longer, so drink from late 2016.",Le Sec de Rayne Vigneau,90,23.0,Bordeaux,Bordeaux Blanc,Central Coast,Roger Voss,@vossroger,Château de Rayne Vigneau 2013 Le Sec de Rayne Vigneau  (Bordeaux Blanc),Sauvignon Blanc,Château de Rayne Vigneau
109,Italy,"Earthy game, scorched earth and black-skinned fruit aromas come together in this Brunello. The palate is dense and ripe, delivering raspberry jam, mochaand vanilla flavors, with mature tannins. Enjoy 2018–2022.",,88,60.0,Tuscany,Brunello di Montalcino,Willamette Valley,Kerin O’Keefe,@kerinokeefe,Fornacina 2012  Brunello di Montalcino,Sangiovese,Fornacina
128,France,"This is a fragrant, floral wine, with a smooth touch of vanilla. It has a fruity, ripe feel, and it shows fresh, crisp, apple-like acidity. This is a ready-to-drink, balanced Chardonnay.",,86,27.0,Burgundy,Bourgogne,Willamette Valley,Roger Voss,@vossroger,Domaine Jessiaume 2010  Bourgogne,Chardonnay,Domaine Jessiaume
134,US,"This is a complex young wine, made in the white Bordeaux style. It has been barrel fermented and aged on the lees. Marked by crisp, mouthwatering acidity, it shows a grassy, hay quality that dries out the citrus fruit and apple fruit, giving the wine a bone-dry feel. Very fine and near the top of Napa Valley Sauvignon Blancs.",Terroir Coquerel,93,37.0,California,Napa Valley,Napa,,,Cockerell 2007 Terroir Coquerel Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Cockerell
147,France,"Big tannins dominate this still young wine. It has spice and a dry toast character that will need to soften. With acidity and hints of red fruits that should happen, so drink this wine from 2019 when its potential should be realized.",,87,20.0,Bordeaux,Cadillac Côtes de Bordeaux,Columbia Valley,Roger Voss,@vossroger,Château Les Hauts de Palette 2014  Cadillac Côtes de Bordeaux,Bordeaux-style Red Blend,Château Les Hauts de Palette
