id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
34,Portugal,"Quinta do Pégo produces a light, fast maturing style of vintage Port. This 2009 has the bonus of great richness, although its fruity character and soft tannins suggest it will mature rapidly.",Quinta do Pégo Vintage,87,28.0,Port,,Sierra Foothills,Roger Voss,@vossroger,Rozes 2009 Quinta do Pégo Vintage  (Port),Port,Rozes
70,Austria,"The crispness is paramount here, maybe too much, meaning that the wine is very green. Of course, this is Riesling and is way too young now. For the moment, the fruit is taut and strung out, and it certainly needs 2–3 years.",1000-Eimerberg Smaragd,88,29.0,Wachau,,New York Other,Roger Voss,@vossroger,Gritsch Mauritiushof 2007 1000-Eimerberg Smaragd Riesling (Wachau),Riesling,Gritsch Mauritiushof
75,New Zealand,"Still youthful and vibrant, the 2007 Taylors Pass Pinot Noir features full-on black cherry fruit, tinged with hints of herbs and licorice. It's a beefy, chunky Pinot that should age reasonably well; drink now–2018.",Taylors Pass Vineyard,90,44.0,Marlborough,,Napa,Joe Czerwinski,@JoeCz,Villa Maria 2007 Taylors Pass Vineyard Pinot Noir (Marlborough),Pinot Noir,Villa Maria
240,South Africa,"This is a round and rich wine, with notes of wood-grilled apple, guava and toasted challah. Smooth and lush in feel, ripe peach and tropical tones drive the palate, while hints of honeysuckle and baking spice unfold on the finish. Ample acidity keeps the wine's weight in check. Drink now.",,90,20.0,Stellenbosch,,Sierra Foothills,Lauren Buzzeo,@laurbuzz,Oldenburg 2014 Chenin Blanc (Stellenbosch),Chenin Blanc,Oldenburg
360,France,"Red apple and brioche aromas are tinged with lemon. The palate has the same fruit, richness and freshness, but expresses this with lightness and ease. It's a versatile sparkler, ideal for both apéritif and dinner. The finish is dry, balanced and elegant.",Mayerling Brut,92,40.0,Alsace,Crémant d'Alsace,Central Valley,Anne Krebiehl MW,@AnneInVino,Cave de Turckheim NV Mayerling Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Cave de Turckheim
436,US,"Luscious blackberry and cherry flavors take center stage here, showing just a glaze of nuttiness and roundness from judicious oak aging. Tart cranberry acidity and fine but slightly puckering tannins frame the palate squarely.",,89,50.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Bedell 2014 Malbec (North Fork of Long Island),Malbec,Bedell
485,South Africa,"Simple but solid, this Cab leads with a nose of smoked meat and pepper and follows it up with a balanced character of minerals, red fruit and wooded spice. Clean and well made, it will pair perfectly with smoked or grilled meats.",,86,15.0,Stellenbosch,,Long Island,Susan Kostrzewa,@suskostrzewa,Vinum Africa 2005 Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Vinum Africa
551,Portugal,"This is a rich, smooth and ripe wine. It has plenty of lemon acidity that contrasts with the mineral texture and the melon and pear fruit flavors. The wine is full, refreshing and also likely to age for a few more months. Best to drink this wine from 2017.",Contradição,93,20.0,Vinho Verde,,Central Coast,Roger Voss,@vossroger,Provam 2014 Contradição Alvarinho (Vinho Verde),Alvarinho,Provam
555,France,"It's the play on roses (the flowers) on the label that makes this bottle seem bright and fun. The wine itself is light and fruity with ripe flavors from the lees aging. There is spice, plenty of acidity and a crisp aftertaste. Drink now.",Infinie,88,23.0,Provence,Côtes de Provence,Sonoma,Roger Voss,@vossroger,Provence Wine Maker 2016 Infinie Rosé (Côtes de Provence),Rosé,Provence Wine Maker
604,Italy,"Aromas suggesting red berry and scorched soil lead the nose while the straightforward palate offers wild cherry, blackberry and a hint of clove. Lithe tannins provide the framework. Drink soon.",Redimore,87,25.0,Southern Italy,Irpinia,Finger Lakes,Kerin O’Keefe,@kerinokeefe,Mastroberardino 2015 Redimore Aglianico (Irpinia),Aglianico,Mastroberardino
623,US,"Shows the problems that California Grenache so frequently runs into, with a mushroomy, vegetal streak running right through the cherry and oak flavors. The wine is not an ager.",,82,28.0,California,Happy Canyon of Santa Barbara,Central Coast,,,Plan B 2010 Grenache (Happy Canyon of Santa Barbara),Grenache,Plan B
628,US,"Rich in cherry and raspberry pie filling flavors, with red currant, cola and exotic pomegranate notes and a super-spicy finish. Bone dry, this Pinot shows the classy elegance of its vineyard source. On the downside is very tart acidity, as if the wine contained a big squirt of lime juice. Hard to tell where it's going, if anywhere, but nice after decanting with a grilled steak.",Sanford & Benedict,91,54.0,California,Sta. Rita Hills,Central Coast,,,Roessler 2008 Sanford & Benedict Pinot Noir (Sta. Rita Hills),Pinot Noir,Roessler
665,Spain,"Aromas of savory leather, wood and baked berry fruits lead to a fresh, well-built palate with fine tannins and integrated but potent acidity. Toasty, blackened plum and berry flavors finish with a coating of oak flavor as well as coffee and chocolate notes. Drink through 2028.",Reserva,92,65.0,Northern Spain,Rioja,Columbia Valley,Michael Schachner,@wineschach,Consejo de la Alta 2010 Reserva  (Rioja),Tempranillo Blend,Consejo de la Alta
758,France,"Based in Nuits Saint-Georges, Aegerter has its own domaine around the town. This wine, with its new wood and spice flavors, is balanced with red-berry fruits and soft tannins. It will develop well and should be ready to drink from 2019.",,90,80.0,Burgundy,Nuits-St.-Georges,Napa,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2014  Nuits-St.-Georges,Pinot Noir,Jean-Luc and Paul Aegerter
784,US,"This bottling, which is balanced by 16% Cabernet Franc and 9% Merlot, rides the savory edge of the grape, with aromas of underbrush and dried herbs giving depth to the black-olive and black-currant aromas. The palate offers a mix of red and darker fruits, including cranberry, plum and blackberry, with touches of thyme and anise.",Reserve,92,84.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Chateau Margene 2014 Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Chateau Margene
898,France,"Supple and fruity, this is bright with red fruits given a lift with spice. The wine is all about fruit with acidity to add a fresher character. Tannins are already integrating meaning the wine will be ready soon. Drink from 2016.",Tertre-Perdigous,87,16.0,Southwest France,Cahors,New York Other,Roger Voss,@vossroger,Château du Port 2013 Tertre-Perdigous Malbec-Merlot (Cahors),Malbec-Merlot,Château du Port
916,France,"Bitter chocolate aromas and woody flavors are the hallmarks of this smoky, burnt toast-inflected wine. That bitter quality probably won't go away, leaving the fruit behind.",,85,17.0,Bordeaux,Cadillac Côtes de Bordeaux,Columbia Valley,Roger Voss,@vossroger,Château de Fontenille 2015  Cadillac Côtes de Bordeaux,Bordeaux-style Red Blend,Château de Fontenille
964,Portugal,"A blend of four grapes, including Sauvignon Blanc and Viognier, the white Chaminé has a full feel to it. An open oily texture also preserves herbaceous crispness and a final burst of acidity.",Chaminé,86,13.0,Alentejano,,Columbia Valley,Roger Voss,@vossroger,Cortes de Cima 2010 Chaminé White (Alentejano),Portuguese White,Cortes de Cima
998,US,"This is a soft vineyard-designate, approachable and flirting with overripe flavors that rein in accents of soy, brown sugar and Dr Pepper.",Bacigalupi Vineyard,85,44.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Gracianna 2014 Bacigalupi Vineyard Zinfandel (Russian River Valley),Zinfandel,Gracianna
1020,Italy,"A promising nose of blueberries, vanilla and spices. On the palate it was less exciting; the fruit was  muted, and there was not much else showing. The finish proved surprisingly long, and as the wine lay in the glass, it did show signs of improvement.",Rosa del Marchese,84,19.0,Piedmont,Barbera d'Asti,Washington Other,,,Gruppo Casaleone 2001 Rosa del Marchese  (Barbera d'Asti),Barbera,Gruppo Casaleone
1045,Italy,"Morellino di Scansano is the perfect wine to pair with Italian dishes like ricotta-filled ravioli in meat sauce or fettuccine with porcini. It shows soft cherry and blackberry aromas, plus bright acids and spicy endnotes.",Poggio Etrusco,88,19.0,Tuscany,Morellino di Scansano,Long Island,,,Fattoria Mantellassi 2010 Poggio Etrusco  (Morellino di Scansano),Red Blend,Fattoria Mantellassi
1350,US,"If you're curious about California Grenache Blanc, check out this one. It shows beautifully varietal flavors of oranges, pineapples and honey, with vital Santa Ynez acidity. So rich, it's hard to believe it never saw any oak.",Tourmaline,88,24.0,California,Santa Ynez Valley,Central Coast,,,Coghlan 2010 Tourmaline Grenache Blanc (Santa Ynez Valley),Grenache Blanc,Coghlan
1364,France,"A wine that is dominated by wood at this stage in its development. But the structure and the fruit are all there, waiting to slot into place in the next 2–3 years. Spice and bright black berry flavors layer with final acidity.",,91,130.0,Bordeaux,Pessac-Léognan,Finger Lakes,Roger Voss,@vossroger,Château Pape Clément 2007  Pessac-Léognan,Bordeaux-style Red Blend,Château Pape Clément
1396,Germany,"Dusty minerals, pollen and spice notes lend complexity to this honey-toned auslese. The palate is decadently sweet, glazed in caramelized sugar and heaving with ripe cantaloupe and peach flavors. A bite of lemon-lime acidity offsets all the opulence, lending edge to a long, lingering finish.",Bernkasteler Badstube Auslese,92,33.0,Mosel,,Sierra Foothills,Anna Lee C. Iijima,,Dr. Heidemanns-Bergweiler 2015 Bernkasteler Badstube Auslese Riesling (Mosel),Riesling,Dr. Heidemanns-Bergweiler
1428,Italy,"Fresh and fruity, this simple, easy-drinking red doles out black cherry, blackberry, white pepper and clove. Racy acidity brightens the juicy fruit flavors.",,86,17.0,Piedmont,Barbera d'Alba,Long Island,Kerin O’Keefe,@kerinokeefe,Collina San Ponzio 2014  Barbera d'Alba,Barbera,Collina San Ponzio
1536,US,"A nice Russian River Chard, firm in acidic minerals, with an edge of dried herbs and wood char to the pineapple, green apple and cream caramel flavors.",Ritchie Vineyard,88,40.0,California,Russian River Valley,Sonoma,,,De Loach 2006 Ritchie Vineyard Chardonnay (Russian River Valley),Chardonnay,De Loach
