id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
173,US,"Rich, balanced and full bodied, this shows exuberantly ripe, sweet flavors of blackberries, mulberries, dark chocolate and raisins, with notes of exotic spices. It will last for 20 years, gradually losing fruit and growing earthy and mushroomy.",Bacigalupi Vineyard,93,50.0,California,Russian River Valley,Sonoma,,,Williams Selyem 2010 Bacigalupi Vineyard Zinfandel (Russian River Valley),Zinfandel,Williams Selyem
327,Hungary,"A beautiful wine with unfolding aromas of orange peel, honey, vanilla and spice, with a viscous mélange of honey, spice and citrus on the palate. Elegant and flinty, with a luxurious finish.",Betsek Aszú 6 Puttonyos,91,79.0,Tokaji,,Napa-Sonoma,Susan Kostrzewa,@suskostrzewa,Royal Tokaji 2000 Betsek Aszú 6 Puttonyos  (Tokaji),Tokaji,Royal Tokaji
602,Italy,"Fragrant notes of cut grass, kiwi and white flower open the bouquet of this Vermentino from sunny, coastal Tuscany. The wine is crisp and tight with pretty nuances of lemon and lime on the close.",,86,,Tuscany,Bolgheri,Washington Other,,,Campo al Mare 2011 Vermentino (Bolgheri),Vermentino,Campo al Mare
614,Spain,"Woodsy, perfumed and light on the nose, this has rosebud and lemon peel aromas. The palate shows a touch of resiny oak, with flavors of raspberry and chocolate, ending with a hint of vanilla.",Crianza Viñas Viejas,86,13.0,Levante,Utiel-Requena,Finger Lakes,Michael Schachner,@wineschach,Corolilla 2009 Crianza Viñas Viejas Bobal (Utiel-Requena),Bobal,Corolilla
619,Italy,"This expression of Freisa from the Asti area of northern Italy opens with sharp berry and underbrush aromas with earthy, rubber-like tones in the background. Notice the commemorative bottle for Italy's 150th Unification anniversary.",150 Anniversario,86,20.0,Piedmont,Asti,Long Island,,,Il Vino dei Padri 2010 150 Anniversario Freisa (Asti),Freisa,Il Vino dei Padri
966,Argentina,"This rooty smelling wine delivers herb, cola and cassis aromas in front of a wiry feeling palate that's loaded to the brim with hard-biting tannins. Flavors of mossy, baked berry fruits come with an herbal streak, and the finish is hard due to those grating tannins. For a five-year-old wine to feel this hard is telling.",Kinien,87,48.0,Mendoza Province,Mendoza,North Coast,Michael Schachner,@wineschach,Ruca Malen 2008 Kinien Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Ruca Malen
1133,US,"Oak and sur lie yeastiness play a big part in this dry Chardonnay's personality. The fruit veers toward tart lemons and limes, with just a hint of nectarine and guava. It feels tight and young in the mouth, so give it until 2014 to start expressing itself.",Monte Sereno Vineyard,88,32.0,California,Arroyo Grande Valley,Central Coast,,,Talley 2011 Monte Sereno Vineyard Chardonnay (Arroyo Grande Valley),Chardonnay,Talley
1172,US,"Light and forward, this pleasant, single vineyard selection opens with pretty raspberry and black cherry fruit and an impression of spritziness. The flavors suggest Campari, with light streaks of herb and anise.",Corral Creek Vineyards,88,50.0,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Chehalem 2011 Corral Creek Vineyards Pinot Noir (Chehalem Mountains),Pinot Noir,Chehalem
1176,US,"Spicy and fresh, this clean and fruity wine displays flavors of jicama, melon and pear. It's a simple, straightforward, well made, fruit-driven wine for every day enjoyment.",,87,15.0,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine ,Mercer 2012 Pinot Gris (Yakima Valley),Pinot Gris,Mercer
1562,Italy,"Made with organically grown grapes, this blend of 85% Sangiovese, 10% Alicante and 5% Ciliegiolo has aromas of underbrush, spiced plum, blue flower, menthol and leather. The palate delivers juicy black cherry, clove, carob, star anise and a tarry note alongside supple, smooth tannins. It's an earthy, intriguing expression from Scansano.",Vigna I Botri,90,20.0,Tuscany,Maremma Toscana,Southern Oregon,Kerin O’Keefe,@kerinokeefe,I Botri 2008 Vigna I Botri  (Maremma Toscana),Red Blend,I Botri
1649,France,"92-94 Barrel sample. An impressive wine. It shows just the right balance of dry botrytis and sweet fruit, bringing a firm structure as well as ripe bitter orange marmalade flavors.",Barrel sample,93,,Bordeaux,Sauternes,Sonoma,Roger Voss,@vossroger,Château Filhot 2008 Barrel sample  (Sauternes),Bordeaux-style White Blend,Château Filhot
1720,Italy,"Made with organically-farmed Catarratto grapes, Beleda is a fragrant white wine with aromas of dried flower, kiwi, mango and lime. There's a sharp, tonic, zesty quality to the mouthfeel.",Beleda,87,,Sicily & Sardinia,Alcamo,North Coast,,,Cantine Rallo 2010 Beleda Catarratto (Alcamo),Catarratto,Cantine Rallo
1736,Italy,"This stunning wine opens with a multifaceted fragrance of underbrush, leather, spice, woodland berries and violets, with a whiff of mint. The layered palate delivers a vibrant core of succulent black cherry accented with white pepper and balsamic herbs. It's still young and structured with forceful yet fine tannins so give it time to develop fully. Drink 2015–2025.",Il Campitello Riserva,95,55.0,Tuscany,Chianti Classico,Napa,Kerin O’Keefe,@kerinokeefe,Monteraponi 2010 Il Campitello Riserva  (Chianti Classico),Red Blend,Monteraponi
1906,US,"Round and rich, this wine takes on renewed complexity in the glass. Seductive in earthy red and black berry fruit and exotic spice, it offers naturally realized structure in a stylized package that should remain interesting for years.",Durell Vineyard,93,65.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Three Sticks 2011 Durell Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Three Sticks
1966,Italy,"This opens with aromas that recall weedy underbrush, sawdust, toast and oak. The firm palate offers star anise, cured meat and a hint of oregano but not much fruit richness. Astringent tannins give it a raspy finish.",,87,48.0,Piedmont,Barolo,Southern Oregon,Kerin O’Keefe,@kerinokeefe,Aldo Clerico 2012  Barolo,Nebbiolo,Aldo Clerico
2005,Italy,"This is a ripe, chewy wine, with jammy aromas of blackberry pie and cherry preserve. It shows a dark, inky structure, with loads of moist pipe tobacco and crème de cassis on the thick, syrupy finish.",Òtre,87,18.0,Southern Italy,Puglia,Central Valley,,,Teanum 2008 Òtre Aglianico (Puglia),Aglianico,Teanum
2153,US,"Still quite closed, this wine has a wealth of French oak toast and spices alongside dark berries. It's silky and restrained but with great depth of flavors and intensity.",,89,36.0,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,Bunnell 2008 Syrah (Horse Heaven Hills),Syrah,Bunnell
